Sequence-a,Sequence-b,Sequence-c,Sequence-d,x,y
2.1515247037478673,0.6012974004644,0.5305839379004441,0.09324967339703372,5.34,2.49
0.8486866961978596,0.45037118210818716,0.737357937734529,0.14990238389815297,11.51,3.81
3.5557244053370667,0.08214395485083821,0.5572144242185698,0.157658993256338,16.91,4.78
4.697214770322153,1.0224436557667966,0.9046990526198375,0.03912918306424643,21.05,5.35
0.10406898012203472,1.0685472514833654,0.6082642952603459,0.11163103971481658,23.6,5.5
1.4655547104734166,1.057156459996612e-06,0.5979478504869977,0.04904939850807223,24.38,5.26
1.1598626761821933,1.2301817702286244,0.7782911117809934,0.001070374214222261,23.39,4.69
7.853269660885821,0.06268988144292063,0.916012865040462,0.008034031742524013,20.83,3.91
2.27861146814901,0.5767426536753572,0.7895759150379889,0.9305041213601292,17.02,3.01
4.791049433688552,0.2505387312164357,0.8442688992721386,0.9488076897235715,12.42,2.12
,,,,7.56,1.35
,,,,2.93,0.76
,,,,-0.98,0.41
,,,,-3.83,0.31
,,,,-5.39,0.44
,,,,-5.59,0.74
,,,,-4.53,1.14
,,,,-2.43,1.55
,,,,0.38,1.9
,,,,3.52,2.12
,,,,6.58,2.17
,,,,9.21,2.03
,,,,11.13,1.72
,,,,12.15,1.27
,,,,12.21,0.75
,,,,11.36,0.23
,,,,9.74,-0.23
,,,,7.58,-0.56
,,,,5.12,-0.73
,,,,2.63,-0.71
,,,,0.32,-0.52
,,,,-1.64,-0.18
,,,,-3.13,0.23
,,,,-4.14,0.68
,,,,-4.7,1.07
,,,,-4.9,1.36
,,,,-4.85,1.5
,,,,-4.67,1.46
,,,,-4.44,1.26
,,,,-4.25,0.9
,,,,-4.09,0.44
,,,,-3.96,-0.05
,,,,-3.79,-0.53
,,,,-3.52,-0.91
,,,,-3.08,-1.16
,,,,-2.4,-1.23
,,,,-1.5,-1.13
,,,,-0.39,-0.86
,,,,0.82,-0.45
,,,,2.03,0.03
,,,,3.06,0.53
,,,,3.77,0.98
,,,,4.03,1.34
,,,,3.74,1.56
,,,,2.87,1.61
,,,,1.48,1.51
,,,,-0.3,1.28
,,,,-2.29,0.94
,,,,-4.24,0.55
,,,,-5.89,0.17
,,,,-6.99,-0.15
,,,,-7.37,-0.38
,,,,-6.88,-0.49
,,,,-5.52,-0.47
,,,,-3.36,-0.34
,,,,-0.59,-0.11
,,,,2.53,0.18
,,,,5.67,0.47
,,,,8.5,0.73
,,,,10.68,0.91
,,,,11.98,1.01
,,,,12.21,1.0
,,,,11.33,0.89
,,,,9.4,0.7
,,,,6.6,0.46
,,,,3.21,0.2
,,,,-0.43,-0.04
,,,,-3.97,-0.24
,,,,-7.07,-0.37
,,,,-9.43,-0.43
,,,,-10.87,-0.43
,,,,-11.28,-0.37
,,,,-10.68,-0.29
,,,,-9.22,-0.2
